Simulation started at: 2015-11-03 12:05:18
Input file: ydata-fp-td-clicks-v2_0.20111002-08.txt
Policy: eAnnealingContextual
Policy,Input File,Evaluations,CTR,Cumulative Runtime (s)
eAnnealingContextual,y,29200,0.0461643835616,694.858
eAnnealingContextual,y,29300,0.0462798634812,697.052
eAnnealingContextual,y,29400,0.0463945578231,699.604
eAnnealingContextual,y,29500,0.0464406779661,701.711
eAnnealingContextual,y,29600,0.0464527027027,704.024
eAnnealingContextual,y,29700,0.046531986532,706.414
eAnnealingContextual,y,29800,0.0465436241611,708.502
eAnnealingContextual,y,29900,0.0465551839465,710.778
eAnnealingContextual,y,30000,0.0465666666667,713.109
eAnnealingContextual,y,30100,0.0464784053156,715.602
eAnnealingContextual,y,30200,0.0465894039735,717.917
eAnnealingContextual,y,30300,0.0466666666667,719.745
eAnnealingContextual,y,30400,0.0466447368421,722.337
eAnnealingContextual,y,30500,0.0468524590164,724.17
eAnnealingContextual,y,30600,0.0469607843137,727.101
eAnnealingContextual,y,30700,0.047003257329,730.216
eAnnealingContextual,y,30800,0.0471103896104,732.691
eAnnealingContextual,y,30900,0.0470873786408,735.072
eAnnealingContextual,y,31000,0.0471612903226,737.212
eAnnealingContextual,y,31100,0.0471704180064,739.429
eAnnealingContextual,y,31200,0.0471474358974,741.771
eAnnealingContextual,y,31300,0.047124600639,744.034
eAnnealingContextual,y,31400,0.0471337579618,745.965
eAnnealingContextual,y,31500,0.0472380952381,748.229
eAnnealingContextual,y,31600,0.0474367088608,750.19
eAnnealingContextual,y,31700,0.0474447949527,752.059
eAnnealingContextual,y,31800,0.0474213836478,754.292
eAnnealingContextual,y,31900,0.047460815047,756.543
eAnnealingContextual,y,32000,0.047375,758.79
eAnnealingContextual,y,32100,0.0473520249221,760.97
eAnnealingContextual,y,32200,0.0472670807453,763.062
eAnnealingContextual,y,32300,0.047306501548,765.108
eAnnealingContextual,y,32400,0.0474691358025,767.435
eAnnealingContextual,y,32500,0.0475384615385,769.631
eAnnealingContextual,y,32600,0.0474539877301,771.81
eAnnealingContextual,y,32700,0.047370030581,773.95
eAnnealingContextual,y,32800,0.0474390243902,776.295
eAnnealingContextual,y,32900,0.0474468085106,778.697
eAnnealingContextual,y,33000,0.0474545454545,780.723
eAnnealingContextual,y,33100,0.0474320241692,782.865
eAnnealingContextual,y,33200,0.0475,785.428
eAnnealingContextual,y,33300,0.0475375375375,787.475
eAnnealingContextual,y,33400,0.0475449101796,789.688
eAnnealingContextual,y,33500,0.0476119402985,792.109
eAnnealingContextual,y,33600,0.047619047619,794.36
eAnnealingContextual,y,33700,0.0476557863501,796.546
eAnnealingContextual,y,33800,0.0476627218935,798.648
eAnnealingContextual,y,33900,0.0476401179941,800.905
eAnnealingContextual,y,34000,0.0478235294118,803.444
eAnnealingContextual,y,34100,0.0477126099707,805.971
eAnnealingContextual,y,34200,0.0477192982456,808.133
eAnnealingContextual,y,34300,0.0478134110787,810.384
eAnnealingContextual,y,34400,0.0478488372093,812.631
eAnnealingContextual,y,34500,0.047768115942,814.898
eAnnealingContextual,y,34600,0.0477456647399,817.071
eAnnealingContextual,y,34700,0.0476657060519,819.378
eAnnealingContextual,y,34800,0.0477873563218,821.696
eAnnealingContextual,y,34900,0.0477936962751,823.715
eAnnealingContextual,y,35000,0.0479142857143,825.936
eAnnealingContextual,y,35100,0.0478917378917,828.709
eAnnealingContextual,y,35200,0.0479261363636,830.746
eAnnealingContextual,y,35300,0.0479603399433,832.76
eAnnealingContextual,y,35400,0.0480508474576,834.967
eAnnealingContextual,y,35500,0.0481408450704,837.271
eAnnealingContextual,y,35600,0.0481460674157,839.836
eAnnealingContextual,y,35700,0.0481512605042,842.504
eAnnealingContextual,y,35800,0.0482122905028,845.099
eAnnealingContextual,y,35900,0.048217270195,847.296
eAnnealingContextual,y,36000,0.04825,849.558
eAnnealingContextual,y,36100,0.0483933518006,851.695
eAnnealingContextual,y,36200,0.0484806629834,854.129
eAnnealingContextual,y,36300,0.0484022038567,856.416
eAnnealingContextual,y,36400,0.0484615384615,859.097
eAnnealingContextual,y,36500,0.0485479452055,861.669
eAnnealingContextual,y,36600,0.048606557377,864.423
eAnnealingContextual,y,36700,0.0486648501362,867.083
eAnnealingContextual,y,36800,0.0486413043478,869.878
eAnnealingContextual,y,36900,0.0486991869919,873.186
eAnnealingContextual,y,37000,0.0487567567568,875.668
eAnnealingContextual,y,37100,0.0487870619946,878.245
eAnnealingContextual,y,37200,0.0489784946237,880.555
eAnnealingContextual,y,37300,0.0488739946381,882.99
eAnnealingContextual,y,37400,0.0489037433155,885.93
eAnnealingContextual,y,37500,0.0490133333333,888.693
eAnnealingContextual,y,37600,0.0491755319149,891.346
eAnnealingContextual,y,37700,0.0491777188329,894.098
eAnnealingContextual,y,37800,0.0492063492063,896.486
eAnnealingContextual,y,37900,0.0492612137203,899.281
eAnnealingContextual,y,38000,0.0492368421053,901.71
eAnnealingContextual,y,38100,0.0493175853018,904.491
eAnnealingContextual,y,38200,0.0493979057592,907.344
eAnnealingContextual,y,38300,0.0494255874674,909.909
eAnnealingContextual,y,38400,0.049453125,912.474
eAnnealingContextual,y,38500,0.0495584415584,914.925
eAnnealingContextual,y,38600,0.0496373056995,917.377
eAnnealingContextual,y,38700,0.0497157622739,919.647
eAnnealingContextual,y,38800,0.0497422680412,922.611
eAnnealingContextual,y,38900,0.0497429305913,924.713
eAnnealingContextual,y,39000,0.0496923076923,926.712
eAnnealingContextual,y,39100,0.0496675191816,928.93
eAnnealingContextual,y,39200,0.0496173469388,931.419
eAnnealingContextual,y,39300,0.0495165394402,933.851
eAnnealingContextual,y,39400,0.0494670050761,936.003
eAnnealingContextual,y,39500,0.0493924050633,938.409
eAnnealingContextual,y,39600,0.0494949494949,941.019
eAnnealingContextual,y,39700,0.0495465994962,943.881
eAnnealingContextual,y,39800,0.0496231155779,946.541
eAnnealingContextual,y,39900,0.049649122807,948.711
eAnnealingContextual,y,40000,0.04965,951.04
eAnnealingContextual,y,40100,0.0496259351621,953.631
