Simulation started at: 2015-02-07 16:27:08
Input file: sampleData.txt
Policy: Random Policy
Lines Evaluations Clicks CTR 
1110000 22144 1076 0.0485910404624
1115000 22249 1084 0.0487212908445
1120000 22354 1086 0.048581909278
1125000 22477 1095 0.0487164657205
1130000 22584 1098 0.0486184909671
1135000 22683 1105 0.0487148966186
1140000 22780 1108 0.0486391571554
1145000 22889 1111 0.0485385993272
1150000 23015 1118 0.0485770149902
1155000 23125 1123 0.0485621621622
1160000 23230 1131 0.0486870426173
1165000 23327 1141 0.0489132764608
1170000 23429 1143 0.0487856929446
1175000 23524 1149 0.0488437340588
1180000 23627 1156 0.0489270749566
1185000 23735 1158 0.0487887086581
1190000 23836 1163 0.0487917435811
1195000 23944 1168 0.0487804878049
1200000 24054 1173 0.0487652781242
1205000 24172 1182 0.0488995532021
1210000 24267 1188 0.0489553714921
1215000 24360 1192 0.0489326765189
1220000 24459 1198 0.0489799255898
1225000 24555 1204 0.0490327835471
1230000 24664 1212 0.049140447616
1235000 24767 1214 0.0490168369201
1240000 24873 1217 0.0489285570699
1245000 24975 1223 0.048968968969
1250000 25072 1228 0.0489789406509
1255000 25189 1234 0.0489896383342
1260000 25292 1238 0.0489482840424
1265000 25378 1239 0.0488218141698
1270000 25474 1244 0.0488341053623
1275000 25547 1248 0.0488511371198
1280000 25644 1254 0.048900327562
1285000 25750 1258 0.048854368932
1290000 25834 1259 0.0487342262135
1295000 25922 1265 0.0488002468945
1300000 26035 1268 0.048703668139
1305000 26149 1271 0.0486060652415
1310000 26248 1274 0.0485370313929
1315000 26330 1277 0.0484998101025
1320000 26420 1285 0.0486373959122
1325000 26512 1290 0.0486572118286
1330000 26595 1295 0.0486933634142
1335000 26702 1299 0.0486480413452
1340000 26803 1304 0.0486512703802
1345000 26911 1307 0.0485675002787
1350000 27029 1317 0.0487254430427
1355000 27123 1322 0.0487409209896
1360000 27209 1324 0.0486603697306
1365000 27320 1330 0.048682284041
1370000 27421 1339 0.0488311877758
1375000 27534 1344 0.0488123774243
1380000 27638 1350 0.0488457920255
1385000 27735 1354 0.0488191815396
1390000 27824 1360 0.0488786658999
1395000 27907 1361 0.0487691260257
1400000 28017 1365 0.0487204197452
1405000 28105 1369 0.0487101939157
1410000 28205 1371 0.0486084027655
1415000 28327 1376 0.0485755639496
1420000 28439 1382 0.0485952389325
1425000 28532 1388 0.0486471330436
1430000 28611 1393 0.0486875677187
1435000 28708 1395 0.0485927267661
1440000 28829 1401 0.0485968989559
1445000 28929 1407 0.048636316499
1450000 29019 1409 0.0485543953961
1455000 29122 1415 0.0485886958313
1460000 29230 1424 0.0487170715019
1465000 29318 1428 0.0487072788048
1470000 29408 1433 0.0487282372144
1475000 29506 1436 0.0486680675117
1480000 29611 1442 0.0486981189423
1485000 29694 1445 0.0486630295683
1490000 29797 1448 0.0485954961909
1495000 29903 1456 0.0486907668127
1500000 30015 1458 0.0485757121439
1505000 30124 1462 0.048532731377
1510000 30218 1464 0.0484479449335
1515000 30325 1473 0.0485737840066
1520000 30425 1479 0.0486113393591
1525000 30515 1488 0.0487629034901
1530000 30621 1494 0.0487900460468
1535000 30718 1501 0.0488638583241
1540000 30816 1503 0.048773364486
1545000 30913 1507 0.0487497169476
1550000 31026 1513 0.048765551473
1555000 31136 1518 0.0487538540596
1560000 31227 1523 0.0487718961155
