t,EnsembleRandomUpdateAll,Naive3,EnsembleEAnnealingUpdateAll,UCB1,Softmax0.1,Random,eAnnealing,EXP30.5,eGreedy0.1,
210600,,,0.077962962963,0.0518233618234,0.0319990503324,0.0344064577398,0.0766049382716,0.0428442545109,0.074358974359,
210700,,,0.0779781680114,0.0518035121025,0.0319981015662,0.0344043663977,0.0766160417655,0.0428476506882,0.0743806359753,
210800,,,0.0779791271347,0.0518074003795,0.0319971537002,0.0344165085389,0.0766176470588,0.0428510436433,0.0743690702087,
210900,,,0.0779848269322,0.0517970602181,0.0319914651494,0.0344096728307,0.0766050260787,0.0428449502134,0.0743859649123,
211000,,,0.077990521327,0.0517725118483,0.0319763033175,0.0344170616114,0.0766066350711,0.0428436018957,0.0743981042654,
211100,,,0.0779962103269,0.0517858834676,0.0319611558503,0.0344054950261,0.076584557082,0.0428469919469,0.0743960208432,
211200,,,0.0779971590909,0.0517945075758,0.0319554924242,0.0343939393939,0.0765861742424,0.0428787878788,0.0743986742424,
211300,,,0.0780123047799,0.0518078561287,0.0319498343587,0.0343918599148,0.0765972550876,0.0428868906768,0.0744155229531,
211400,,,0.0780179754021,0.0518070009461,0.0319441816462,0.0343850520341,0.0765988647114,0.042880794702,0.0744181646168,
211500,,,0.0780330969267,0.0518250591017,0.031938534279,0.0343877068558,0.0766052009456,0.0428699763593,0.0744302600473,
211600,,,0.078034026465,0.051843100189,0.0319470699433,0.0343856332703,0.0766209829868,0.0428827977316,0.0744328922495,
211700,,,0.0780396787907,0.0518422295701,0.0319461502126,0.0343788379783,0.0766225791214,0.0429003306566,0.0744496929617,
211800,,,0.0780264400378,0.0518177525968,0.031940509915,0.0343767705382,0.0766241737488,0.0428895184136,0.0744570349386,
211900,,,0.078036809816,0.051798017933,0.0319490325625,0.0343747050496,0.0766352052855,0.0428975932043,0.0744643699858,
212000,,,0.0780330188679,0.0517924528302,0.0319528301887,0.0343820754717,0.0766556603774,0.0429103773585,0.0744811320755,
212100,,,0.0780528052805,0.0517821782178,0.0319519094767,0.0343847241867,0.0766525223951,0.0429137199434,0.0744743045733,
212200,,,0.0780442978322,0.0517766258247,0.0319557021678,0.0343779453346,0.0766823751178,0.0429076343073,0.0744910461828,
212300,,,0.0780452190297,0.0517710786623,0.0319547809703,0.0343900141309,0.0766839378238,0.0429109750353,0.074493641074,
212400,,,0.0780320150659,0.0517514124294,0.0319538606403,0.0343926553672,0.0766807909605,0.0429190207156,0.0744821092279,
212500,,,0.0780329411765,0.0517552941176,0.0319482352941,0.0343952941176,0.0766964705882,0.0429223529412,0.0744894117647,
212600,,,0.0780150517404,0.051768579492,0.0319567262465,0.034388523048,0.0766839134525,0.0429209783631,0.0744920037629,
212700,,,0.0780206864128,0.0517865538317,0.0319417019276,0.0343770568876,0.0766948754114,0.042924306535,0.0744757874941,
212800,,,0.0780216165414,0.0518045112782,0.0319454887218,0.0343796992481,0.0766729323308,0.0429370300752,0.0744501879699,
212900,,,0.0780084546736,0.051798966651,0.0319445749178,0.0343823391264,0.0766979802724,0.042940347581,0.0744527947393,
213000,,,0.077985915493,0.0517840375587,0.0319483568075,0.0343755868545,0.0766995305164,0.0429530516432,0.0744460093897,
213100,,,0.0779962458939,0.0517644298451,0.0319474425153,0.0343782261849,0.0767057719381,0.0429563585171,0.0744439230408,
213200,,,0.0780065666041,0.0517495309568,0.0319559099437,0.0343808630394,0.0767026266417,0.0429643527205,0.0744277673546,
213300,,,0.0779934364744,0.051739334271,0.03194092827,0.0343975621191,0.0766947960619,0.0429864041256,0.0744397562119,
213400,,,0.077985004686,0.0517525773196,0.0319400187441,0.0343955014058,0.0766776007498,0.042985004686,0.0744329896907,
