t,Naive3,UCB1,Random,Softmax0.1,EnsembleEAnnealingUpdateAll,EnsembleRandomUpdateAll,EXP30.5,eAnnealing,eGreedy0.1,
10300,0.0043616516,0.0000000000,0.0020499926,0.0110192207,0.0030068378,,0.0024434278,0.0024766608,0.0025657349,
10400,0.0044692166,0.0000000000,0.0020253605,0.0110421435,0.0030172587,,0.0025292787,0.0023924924,0.0024922835,
10500,0.0045446903,0.0000000000,0.0019184163,0.0110595748,0.0029454301,,0.0024415278,0.0023772543,0.0024491935,
10600,0.0044745168,0.0000000000,0.0019056101,0.0111807883,0.0029363960,,0.0024204258,0.0023204351,0.0024814609,
10700,0.0045728798,0.0000000000,0.0019247241,0.0112006165,0.0029149188,,0.0024247969,0.0022825050,0.0023887480,
10800,0.0045525999,0.0000000015,0.0019259122,0.0112127068,0.0028892337,,0.0023468463,0.0022335936,0.0023735330,
10900,0.0045307697,0.0000000000,0.0019086640,0.0112476116,0.0028316324,,0.0023326519,0.0022181797,0.0023802993,
11000,0.0045058792,0.0000000000,0.0018532835,0.0112845124,0.0027940511,,0.0023222306,0.0021431099,0.0022922014,
11100,0.0044235763,0.0000000000,0.0018479232,0.0113118348,0.0027717406,,0.0023045461,0.0021534673,0.0022614706,
11200,0.0044164761,0.0000000000,0.0018484482,0.0112671272,0.0027945159,,0.0022164628,0.0021020292,0.0022431159,
11300,0.0043699643,0.0000000000,0.0018550652,0.0113088862,0.0027389859,,0.0022321653,0.0021058538,0.0022799879,
11400,0.0044090533,0.0000000000,0.0018793327,0.0112849471,0.0027730873,,0.0022224627,0.0020678138,0.0022451514,
11500,0.0043626934,0.0000000000,0.0018342293,0.0112187472,0.0027160704,,0.0022338519,0.0020839773,0.0022105151,
11600,0.0042892068,0.0000000009,0.0018577813,0.0111568844,0.0026595057,,0.0022129161,0.0020725544,0.0021998980,
11700,0.0042343448,0.0000000012,0.0018427081,0.0111741506,0.0026066978,,0.0021709626,0.0020855285,0.0022208137,
11800,0.0042401911,0.0000000011,0.0018659973,0.0110963836,0.0025615976,,0.0021770591,0.0020058268,0.0021229504,
11900,0.0041624018,0.0000000000,0.0018542669,0.0110009244,0.0024832766,,0.0021388604,0.0019928668,0.0020724809,
12000,0.0041171362,0.0000000000,0.0018484690,0.0110708085,0.0025008414,,0.0021355511,0.0019716040,0.0020579172,
12100,0.0039936059,0.0000000012,0.0018476830,0.0111090049,0.0024972315,,0.0021121160,0.0019578639,0.0021340085,
12200,0.0039969363,0.0000000005,0.0018503570,0.0111266207,0.0024507587,,0.0021080187,0.0019398599,0.0021032378,
12300,0.0039373915,0.0000000000,0.0018366871,0.0111341308,0.0024327151,,0.0020856207,0.0019267435,0.0020623929,
12400,0.0038599277,0.0000000000,0.0018232667,0.0111052692,0.0023667476,,0.0020804628,0.0019296619,0.0020676587,
12500,0.0037858206,0.0000000012,0.0018493249,0.0110435859,0.0023363953,,0.0020608089,0.0019179823,0.0020522352,
12600,0.0037453731,0.0000000005,0.0018210678,0.0110736206,0.0023370168,,0.0020404596,0.0018610110,0.0019999790,
12700,0.0037159376,0.0000000009,0.0017831018,0.0110332139,0.0023028268,,0.0019925150,0.0018301625,0.0019961419,
12800,0.0036821195,0.0000000000,0.0018396508,0.0110482783,0.0022750674,,0.0019819488,0.0018030916,0.0018969795,
12900,0.0036165096,0.0000000000,0.0018407447,0.0110454390,0.0022408839,,0.0019247611,0.0017503480,0.0018642726,
13000,0.0035696784,0.0000000000,0.0018249173,0.0109941422,0.0022120775,,0.0018980578,0.0017266332,0.0018237584,
13100,0.0035218261,0.0000000000,0.0018462579,0.0110031339,0.0021755709,,0.0019018105,0.0017088385,0.0017668197,
13200,0.0034969241,0.0000000011,0.0018351890,0.0110341111,0.0020848476,,0.0019086199,0.0016725790,0.0016883235,
13300,0.0034417836,0.0000000000,0.0018399073,0.0110306697,0.0020645033,,0.0018828195,0.0016277226,0.0016535200,
13400,0.0033725427,0.0000000011,0.0018026129,0.0110208764,0.0020229629,,0.0019053103,0.0016119691,0.0016489385,
13500,0.0033559398,0.0000000000,0.0017943388,0.0109676692,0.0020090546,,0.0018746352,0.0016089428,0.0016907019,
13600,0.0033897697,0.0000000009,0.0017587759,0.0109558758,0.0019896058,,0.0018230649,0.0015918169,0.0016837700,
13700,0.0033974999,0.0000000000,0.0017096289,0.0109312737,0.0020701155,,0.0018325045,0.0016608152,0.0016769798,
13800,0.0034204203,0.0000000000,0.0016879141,0.0109052691,0.0020588715,,0.0018367243,0.0016722078,0.0017376856,
13900,0.0033730754,0.0000000011,0.0016601195,0.0108829115,0.0020718051,,0.0018181760,0.0016923151,0.0017726333,
14000,0.0033394595,0.0000000013,0.0016286100,0.0108485806,0.0020879820,,0.0018567903,0.0017475590,0.0018120346,
14100,0.0033597614,0.0000000012,0.0016404374,0.0107801590,0.0021428119,,0.0018213653,0.0017806598,0.0018575062,
14200,0.0033699176,0.0000000007,0.0016553848,0.0107714201,0.0021576058,,0.0017963177,0.0018004083,0.0018673041,
14300,0.0033949062,0.0000000014,0.0016182638,0.0106962174,0.0020991792,,0.0017905057,0.0018301649,0.0018912475,
14400,0.0034542428,0.0000000004,0.0015992532,0.0106578355,0.0020638658,,0.0018008887,0.0018028826,0.0018773562,
14500,0.0035151290,0.0000000009,0.0015733442,0.0106728990,0.0020345159,,0.0017559502,0.0017815187,0.0018579478,
14600,0.0034997297,0.0000000000,0.0015755601,0.0106068575,0.0020594314,,0.0017694049,0.0017476807,0.0018215487,
14700,0.0034008503,0.0000000000,0.0015606849,0.0105846690,0.0020619196,,0.0017655431,0.0017737152,0.0018558466,
14800,0.0034144538,0.0000000000,0.0015372087,0.0105893685,0.0020461943,,0.0017129722,0.0017407797,0.0018445368,
14900,0.0033682138,0.0000000015,0.0014860652,0.0105572319,0.0020378528,,0.0017247060,0.0017326618,0.0018352893,
15000,0.0033799145,0.0000000000,0.0014853288,0.0105724611,0.0020304604,,0.0017011848,0.0017340896,0.0018292885,
15100,0.0033411849,0.0000000000,0.0014808420,0.0105905008,0.0020257432,,0.0016991972,0.0017335020,0.0018077287,
15200,0.0033571482,0.0000000012,0.0015139894,0.0105877572,0.0019940425,,0.0017174707,0.0016614154,0.0017728117,
15300,0.0033276619,0.0000000000,0.0015318978,0.0106161363,0.0019890268,,0.0017344210,0.0016597619,0.0017034599,
15400,0.0033428590,0.0000000000,0.0015162795,0.0106556390,0.0019671219,,0.0017949897,0.0016311502,0.0017140151,
15500,0.0033593064,0.0000000000,0.0015161998,0.0106443675,0.0019561584,,0.0017965358,0.0015933742,0.0016996337,
15600,0.0033727027,0.0000000000,0.0015052316,0.0106214119,0.0019809280,,0.0017759341,0.0016284112,0.0017160341,
15700,0.0034228385,0.0000000000,0.0015189735,0.0106150072,0.0019503332,,0.0017621492,0.0016103149,0.0017729827,
15800,0.0033797607,0.0000000008,0.0015122559,0.0106342129,0.0019339632,,0.0017525780,0.0016028911,0.0017269398,
15900,0.0033761480,0.0000000000,0.0014980643,0.0106287305,0.0019173843,,0.0017683211,0.0015605302,0.0017007821,
16000,0.0033501749,0.0000000000,0.0015165038,0.0105906602,0.0019066979,,0.0017538388,0.0015718346,0.0016852145,
16100,0.0033482332,0.0000000000,0.0015269070,0.0105459315,0.0018948149,,0.0017371439,0.0015077312,0.0016904492,
16200,0.0033278285,0.0000000005,0.0015422048,0.0104969131,0.0018711215,,0.0017088103,0.0014877909,0.0016779529,
16300,0.0033716331,0.0000000000,0.0015252298,0.0104588674,0.0018535980,,0.0017251268,0.0014863770,0.0016395335,
16400,0.0033616534,0.0000000014,0.0015114025,0.0104098879,0.0018419799,,0.0017262417,0.0014777499,0.0016168006,
16500,0.0033566530,0.0000000008,0.0014811037,0.0103952221,0.0018239075,,0.0017195397,0.0014610419,0.0016282515,
16600,0.0033266124,0.0000000000,0.0014861844,0.0103805349,0.0017981278,,0.0016899282,0.0014210697,0.0016403656,
16700,0.0033249713,0.0000000014,0.0014717613,0.0103370870,0.0017639342,,0.0016725142,0.0014070455,0.0016022040,
16800,0.0033579079,0.0000000000,0.0014668799,0.0103587950,0.0017596175,,0.0016539516,0.0013982691,0.0015692438,
16900,0.0033550905,0.0000000009,0.0014264462,0.0103959041,0.0017604815,,0.0016526611,0.0013711691,0.0015025780,
17000,0.0033784154,0.0000000000,0.0013894484,0.0104197792,0.0017568186,,0.0016392075,0.0013447236,0.0015141585,
17100,0.0033408485,0.0000000000,0.0014017477,0.0103958232,0.0017384865,,0.0016308067,0.0013180704,0.0015144317,
17200,0.0033040158,0.0000000000,0.0013884089,0.0104125278,0.0017206134,,0.0016113849,0.0013206252,0.0015041444,
17300,0.0032282948,0.0000000000,0.0013709221,0.0104216960,0.0017069594,,0.0016638063,0.0013125206,0.0014825698,
17400,0.0031343238,0.0000000000,0.0013630563,0.0104081808,0.0016625271,,0.0016545903,0.0012787496,0.0014531709,
17500,0.0031195116,0.0000000009,0.0013353270,0.0103901722,0.0016539682,,0.0016288989,0.0012419340,0.0014348889,
17600,0.0030944182,0.0000000010,0.0013182967,0.0103222244,0.0015741093,,0.0015985006,0.0012419117,0.0014268794,
17700,0.0030640278,0.0000000011,0.0012919973,0.0103328262,0.0015776709,,0.0015906171,0.0012128397,0.0013912652,
17800,0.0030293647,0.0000000004,0.0012984158,0.0103414073,0.0015834956,,0.0016004434,0.0011946978,0.0013806020,
17900,0.0030190815,0.0000000007,0.0012855775,0.0103393077,0.0015919965,,0.0015806963,0.0012033585,0.0013815836,
18000,0.0029822037,0.0000000000,0.0012864846,0.0103482782,0.0016161849,,0.0016192102,0.0012213886,0.0013804261,
18100,0.0029858833,0.0000000012,0.0012691022,0.0103401555,0.0016481107,,0.0015865014,0.0012669614,0.0014047824,
18200,0.0029126805,0.0000000000,0.0012490566,0.0103692242,0.0016899931,,0.0015810211,0.0012904292,0.0014001757,
18300,0.0028868410,0.0000000000,0.0012356551,0.0103508952,0.0017087431,,0.0015680839,0.0013424470,0.0014027795,
18400,0.0028044883,0.0000000000,0.0012530971,0.0103683028,0.0017304748,,0.0015363622,0.0013499064,0.0014270419,
18500,0.0028079282,0.0000000000,0.0012640863,0.0103696904,0.0017317360,,0.0015341641,0.0013916513,0.0014303469,
18600,0.0027624156,0.0000000009,0.0012744335,0.0103475621,0.0017231220,,0.0015292777,0.0014320095,0.0014219321,
18700,0.0027810966,0.0000000008,0.0012649448,0.0103239806,0.0017316026,,0.0015212721,0.0014148302,0.0014196325,
18800,0.0027651271,0.0000000000,0.0012625110,0.0103012329,0.0017440056,,0.0015190711,0.0014490752,0.0014378995,
18900,0.0027605293,0.0000000000,0.0012278798,0.0102445545,0.0017542345,,0.0015066302,0.0014492430,0.0014546641,
19000,0.0027455529,0.0000000009,0.0012131954,0.0102333747,0.0017647215,,0.0014629938,0.0014610991,0.0014654753,
19100,0.0027074645,0.0000000013,0.0011931819,0.0101994568,0.0017840657,,0.0014560811,0.0014827018,0.0014832194,
19200,0.0026773451,0.0000000012,0.0011766046,0.0102103801,0.0018148020,,0.0014435104,0.0015312352,0.0015024244,
19300,0.0026533810,0.0000000007,0.0011985852,0.0102016954,0.0018094160,,0.0014491571,0.0015369719,0.0015362352,
19400,0.0026241755,0.0000000010,0.0011936130,0.0101843809,0.0018392120,,0.0014485423,0.0015305662,0.0015470016,
19500,0.0026069917,0.0000000000,0.0011827329,0.0101809954,0.0018724670,,0.0014261820,0.0015695910,0.0015944705,
19600,0.0026138322,0.0000000000,0.0011697761,0.0101707577,0.0018788560,,0.0014103460,0.0015861741,0.0016174006,
19700,0.0025689793,0.0000000009,0.0011674702,0.0101536450,0.0018819669,,0.0014158615,0.0015884405,0.0016166616,
19800,0.0025272080,0.0000000000,0.0011710472,0.0101089603,0.0018952451,,0.0014336616,0.0015870296,0.0016068625,
19900,0.0025272236,0.0000000008,0.0011828858,0.0100939552,0.0018771924,,0.0014150674,0.0015762990,0.0015795210,
20000,0.0025395570,0.0000000011,0.0011571799,0.0100882118,0.0018838845,,0.0013840550,0.0015843690,0.0015983064,
20100,0.0024906001,0.0000000010,0.0011680162,0.0100235999,0.0018728542,,0.0013883420,0.0015547642,0.0015771955,
20200,0.0024704773,0.0000000000,0.0011750567,0.0099948059,0.0018702384,,0.0013648980,0.0015516413,0.0015651578,
20300,0.0024541761,0.0000000010,0.0011358861,0.0099506934,0.0018453653,,0.0013825700,0.0015520942,0.0015593111,
20400,0.0024308932,0.0000000008,0.0011716862,0.0099220425,0.0018113810,,0.0013758189,0.0015420362,0.0015458233,
20500,0.0023829689,0.0000000011,0.0012048743,0.0099054895,0.0018133966,,0.0013778739,0.0015421888,0.0015259667,
20600,0.0023606695,0.0000000011,0.0011985475,0.0099263805,0.0018230718,,0.0013658329,0.0015362039,0.0015330816,
20700,0.0023652067,0.0000000000,0.0012075318,0.0098943685,0.0017858503,,0.0013679206,0.0015374341,0.0015349401,
20800,0.0023376758,0.0000000000,0.0012082011,0.0098487944,0.0017803273,,0.0013951368,0.0015436910,0.0015028096,
20900,0.0023553811,0.0000000008,0.0012069810,0.0098221026,0.0017839499,,0.0013913549,0.0015935600,0.0015121358,
21000,0.0023636706,0.0000000011,0.0012109276,0.0098162625,0.0018423219,,0.0013747122,0.0016198574,0.0015327688,
21100,0.0023672136,0.0000000000,0.0011939786,0.0098074337,0.0018846183,,0.0013684925,0.0016793064,0.0015890400,
21200,0.0023964740,0.0000000000,0.0011921758,0.0098119160,0.0019033728,,0.0013328762,0.0017011176,0.0016466994,
21300,0.0023703295,0.0000000000,0.0011984252,0.0097955329,0.0018883574,,0.0013193045,0.0016807402,0.0016053936,
21400,0.0023491508,0.0000000000,0.0011955552,0.0098009987,0.0019105242,,0.0013175388,0.0016845303,0.0015993168,
21500,0.0023665767,0.0000000000,0.0011763107,0.0097673540,0.0018973363,,0.0013090221,0.0016805980,0.0016135401,
21600,0.0023138239,0.0000000009,0.0011641655,0.0097509038,0.0018757692,,0.0013053120,0.0016903686,0.0015839717,
21700,0.0023078204,0.0000000000,0.0011453872,0.0097093657,0.0018807144,,0.0012835846,0.0016942677,0.0015912036,
21800,0.0023146615,0.0000000009,0.0011458486,0.0096894221,0.0018559595,,0.0012925094,0.0016954325,0.0015857279,
21900,0.0022839314,0.0000000009,0.0011142531,0.0097100905,0.0018837683,,0.0012727445,0.0017263716,0.0016219004,
22000,0.0023111107,0.0000000000,0.0010954973,0.0096872061,0.0018845019,,0.0012835498,0.0017581216,0.0016578721,
22100,0.0022902768,0.0000000000,0.0010817545,0.0097054735,0.0018797908,,0.0012918347,0.0017553840,0.0016514143,
22200,0.0022567867,0.0000000000,0.0010889598,0.0096934844,0.0019081211,,0.0012915366,0.0017756016,0.0016653737,
22300,0.0022560452,0.0000000013,0.0010913691,0.0096564086,0.0019219219,,0.0012612063,0.0018098361,0.0016774078,
22400,0.0022670954,0.0000000000,0.0010937030,0.0096338279,0.0018863060,,0.0012586066,0.0018134069,0.0016747657,
